159.748	113.922
159.748	113.922
159.748	113.922
-1	-1
172.522	125.838
47.9564	159.963
236.008	58.2821
14.737	98.7192
189.039	199.847
3.94949	47.3973
226.29	193.038
196.665	177.89
28.0001	59.7959
97.0955	42.7295
15.4707	117.95
122.832	47.4978
243.247	59.2016
206.83	1.19704
275.896	169.972
259.723	37.789
223.168	179.232
70.8341	116.371
23.0904	24.7672
130.966	176.267
294.27	31.236
140.722	194.101
80.6726	34.8041
75.6361	149.624
202.362	193.633
18.3485	186.547
284.495	93.6951
192.939	158.615
149.957	133.057
139.545	93.884
-1	-1
3.47988	4.21778
